Model's parameters: 
{'source': PosixPath('/home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4'), 'classes': [0], 'project': '/home/lucas/Documents/computer_vision/src/computer_vision/experimentation/predict', 'name': 'GX010077', 'stream': True, 'save': True, 'save_txt': True, 'save_conf': True, 'show': False}

video 1/1 (frame 92/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
video 1/1 (frame 93/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.5ms
video 1/1 (frame 94/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 95/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.5ms
video 1/1 (frame 96/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
video 1/1 (frame 97/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.5ms
video 1/1 (frame 98/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.5ms
video 1/1 (frame 99/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 100/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 101/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 102/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 103/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 104/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
Speed: 2.0ms preprocess, 24.4ms inference, 0.5ms postprocess per image at shape (1, 3, 384, 640)
Results saved to [1m/home/lucas/Documents/computer_vision/src/computer_vision/experimentation/predict/GX010077[0m
6 labels saved to /home/lucas/Documents/computer_vision/src/computer_vision/experimentation/predict/GX010077/labels
